Customer ID,Name,Age,Date of Birth,Email,Income Status,Mobile No,Country,Mobile Active,Email Active,City,Action,Time Spent,Transaction_Amount,Product Code
KN495088,Dana,11.0,1993-05-25,honey1886@duck.com,>=50k,496903287272.0,Germany,1.0,1.0,Munich,Purchase,04:22:13,72.43,QPEU5727
RB556052,Marshall,30.0,2003-05-28,ing2023@yandex.com,<50k,556863614302.0,Brazil,1.0,0.0,Salvador,Signup,09:26:19,36.56,UXUD2098
YX734718,Allen,14.0,1984-10-23,seafood1980@protonmail.com,>=50k,619163918647.0,Australia,0.0,0.0,Melbourne,Save for later,20:12:57,127.08,KYMO8423
LG026910,Nathanial,28.0,1967-06-20,partly1987@example.com,>=50k,819172826553.0,Japan,0.0,1.0,Kawasaki,Home Page Visit,18:17:23,51.36,RVJQ1844
XG079407,Marinda,34.0,1976-12-21,guarantees1939@outlook.com,<50k,616345879195.0,Australia,0.0,0.0,Brisbane,Login,06:40:41,,THBP1544
NH952693,Tashina,41.0,1978-06-30,sounds2086@example.com,<50k,826424332746.0,South Korea,0.0,1.0,Ulsan,Purchase,23:11:38,9750.37,RZGK2301
HH743675,Carol,46.0,1969-12-25,romania1873@live.com,bad data cell,<50k,557187460644.0,Brazil,0.0,,Recife,Add to cart,17:30:40,7998.15,DQMY7105
DG456456,Mahalia,55.0,2003-11-24,emails1893@outlook.com,>=50k,19128635761.0,USA,1.0,1.0,Houston,order cancel,02:53:24,48.9,ICUI0594
IP728694,Ezra,14.0,1984-09-29,service1981@duck.com,,16942632436.0,USA,0.0,1.0,Boise,Shared product,06:39:37,617.04,WBNP4481
YC171172,Regan,65.0,2001-10-07,glen1908@yandex.com,unemployed,817572606999.0,Japan,0.0,1.0,Kyoto,Login,14:41:42,4543.29,SQGQ0714
FX841085,Jerome,20.0,2009-02-24,text2091@live.com,>=50k,,South Korea,0.0,0.0,Ulsan,Home Page Visit,17:12:03,2173.02,LFBK7736
HX634463,bad data cellMilo,11.0,1989-11-02,motivation1982@gmail.com,<50k,497210040502.0,Germany,1.0,1.0,Berlin,Add to cart,08:35:33,,UGVM0899
AU700900,Ying,19.0,1993-08-23,gospel1885@live.com,>=50k,556966646263.0,Brazil,0.0,1.0,Belo Horizonte,Purchase,02:35:40,,PCMJ9549
EU238464,Ciera,61.0,1998-03-31,georgia1969@duck.com,>=50k,496926786340.0,Germany,0.0,1.0,Stuttgart,Add to cart,15:23:21,,UHCT0826
EA199194,Randall,68.0,1980-02-12,right1940@gmail.com,unemployed,827511130438.0,South Korea,0.0,0.0,Seoul,Signup,02:03:41,,CPPH2489
BR511273,Jaime,62.0,1964-11-14,incidence1976@duck.com,>=50k,558382824801.0,Brazil,0.0,1.0,Brasilia,Home Page Visit,14:56:56,45.36,CMSO4490
CD421955,Hipolito,69.0,1968-11-14,counted2076@duck.com,>=50k,547176745357.0,Argentina,0.0,1.0,Rosario,Save for later,20:31:30,817.68,RFPG0344
CX535158,Walter,43.0,1998-01-21,nurse1800@gmail.com,>=50k,559691092259.0,Brazil,0.0,0.0,Sao Paulo,Save for later,,,CSMS3211
MX890701,Vaughn,70.0,1967-04-09,reid2072@example.com,>=50k,919267889290.0,India,1.0,1.0,New Delhi,Signup,17:15:53,526.74,CJSV9945
MU756134,,34.0,2001-01-19,fossil1870@yandex.com,unemployed,557538425002.0,Brazil,1.0,0.0,Porto Alegre,order cancel,10:32:22,5223.42,RUMN4728
